energy_keV,counts
0.1,793.2
0.12,766.9
0.14,787.7
0.16,784.7
0.18,735.6
0.2,740.3
0.22,758.1
0.24,750.8
0.26,761.1
0.28,766.9
0.3,833.9
0.32,911.3
0.34,1037.5
0.36,1271.0
0.38,1579.3
0.4,1987.4
0.42,2533.1
0.44,3102.6
0.46,3718.1
0.48,4209.5
0.5,4549.1
0.52,4659.6
0.54,4559.9
0.56,4187.1
0.58,3667.3
0.6,3070.1
0.62,2483.6
0.64,1943.4
0.66,1505.6
0.68,1177.3
0.7,975.0
0.72,789.5
0.74,698.5
0.76,642.5
0.78,635.2
0.8,626.6
0.82,598.1
0.84,580.4
0.86,575.3
0.88,592.5
0.9,589.3
0.92,581.9
0.94,559.3
0.96,568.4
0.98,562.3
1.0,559.5
1.02,565.1
1.04,551.1
1.06,553.7
1.08,540.4
1.1,539.6
1.12,540.6
1.14,505.2
1.16,518.2
1.18,511.9
1.2,505.4
1.22,507.0
1.24,529.6
1.26,490.3
1.28,514.0
1.3,470.4
1.32,486.8
1.34,490.5
1.36,493.1
1.38,491.3
1.4,488.9
1.42,468.1
1.44,462.8
1.46,479.0
1.48,459.7
1.5,439.9
1.52,438.6
1.54,438.3
1.56,456.1
1.58,447.4
1.6,452.2
1.62,432.1
1.64,437.5
1.66,441.2
1.68,423.9
1.7,432.1
1.72,412.1
1.74,413.4
1.76,410.0
1.78,394.6
1.8,416.7
1.82,399.3
1.84,403.4
1.86,407.4
1.88,403.8
1.9,404.1
1.92,389.7
1.94,381.8
1.96,384.1
1.98,357.0
2.0,357.8
2.02,356.8
2.04,358.8
2.06,376.9
2.08,354.6
2.1,359.7
2.12,382.1
2.14,354.5
2.16,368.2
2.18,340.5
2.2,348.7
2.22,334.9
2.24,341.5
2.26,356.6
2.28,315.5
2.3,345.3
2.32,339.8
2.34,324.8
2.36,309.6
2.38,329.9
2.4,318.4
2.42,327.4
2.44,321.8
2.46,343.1
2.48,313.1
2.5,299.0
2.52,314.6
2.54,312.9
2.56,327.7
2.58,317.6
2.6,308.1
2.62,322.5
2.64,280.4
2.66,286.5
2.68,280.0
2.7,285.8
2.72,268.9
2.74,296.9
2.76,281.9
2.78,261.1
2.8,265.8
2.82,283.6
2.84,289.5
2.86,304.8
2.88,316.5
2.9,277.0
2.92,253.9
2.94,234.8
2.96,268.9
2.98,250.7
3.0,254.7
3.02,249.9
3.04,255.0
3.06,271.2
3.08,255.7
3.1,249.1
3.12,234.1
3.14,222.7
3.16,238.7
3.18,243.4
3.2,268.9
3.22,242.6
3.24,253.6
3.26,229.7
3.28,217.7
3.3,219.2
3.32,221.1
3.34,262.2
3.36,216.3
3.38,239.6
3.4,211.8
3.42,237.7
3.44,227.8
3.46,218.1
3.48,218.3
3.5,207.5
3.52,222.4
3.54,207.3
3.56,194.2
3.58,191.9
3.6,212.1
3.62,231.7
3.64,208.9
3.66,203.3
3.68,207.9
3.7,221.7
3.72,203.9
3.74,193.1
3.76,214.4
3.78,202.8
3.8,218.0
3.82,196.3
3.84,173.8
3.86,170.3
3.88,214.2
3.9,214.0
3.92,184.1
3.94,179.7
3.96,206.0
3.98,166.2
4.0,168.1
4.02,189.9
4.04,173.0
4.06,177.6
4.08,174.0
4.1,180.2
4.12,195.1
4.14,174.1
4.16,181.2
4.18,139.5
4.2,168.4
4.22,155.3
4.24,148.5
4.26,152.4
4.28,159.4
4.3,177.0
4.32,142.2
4.34,161.4
4.36,152.6
4.38,153.8
4.4,172.7
4.42,164.6
4.44,175.5
4.46,152.1
4.48,142.9
4.5,148.9
4.52,154.8
4.54,152.8
4.56,132.8
4.58,149.4
4.6,150.5
4.62,183.8
4.64,173.2
4.66,131.2
4.68,138.7
4.7,120.1
4.72,132.2
4.74,144.9
4.76,157.3
4.78,127.3
4.8,127.5
4.82,104.1
4.84,133.0
4.86,118.6
4.88,125.7
4.9,119.5
4.92,130.4
4.94,104.5
4.96,108.0
4.98,161.1
5.0,109.0
5.02,111.0
5.04,154.1
5.06,169.3
5.08,107.3
5.1,118.5
5.12,128.3
5.14,148.3
5.16,106.8
5.18,117.1
5.2,131.6
5.22,125.7
5.24,112.7
5.26,115.6
5.28,96.2
5.3,112.5
5.32,111.3
5.34,118.0
5.36,105.4
5.38,120.1
5.4,127.5
5.42,113.9
5.44,116.1
5.46,110.9
5.48,109.4
5.5,97.8
5.52,112.7
5.54,105.8
5.56,137.9
5.58,129.5
5.6,111.0
5.62,93.0
5.64,87.1
5.66,121.0
5.68,106.4
5.7,109.0
5.72,75.0
5.74,114.4
5.76,106.7
5.78,82.6
5.8,91.5
5.82,101.9
5.84,98.2
5.86,92.4
5.88,94.6
5.9,91.8
5.92,97.2
