x,y
5.800000000000000000e+02,1.757975640969198821e+03
5.802346041055718615e+02,1.761532662168994875e+03
5.804692082111437230e+02,1.705918094606484601e+03
5.807038123167155845e+02,1.698601585175046694e+03
5.809384164222874460e+02,1.762865581197974279e+03
5.811730205278591939e+02,1.714743408739794859e+03
5.814076246334310554e+02,1.695362234339746465e+03
5.816422287390029169e+02,1.679008829354618683e+03
5.818768328445747784e+02,1.713106836791899241e+03
5.821114369501466399e+02,1.812867448718337755e+03
5.823460410557185014e+02,1.766415695163305145e+03
5.825806451612903629e+02,1.814707941465733029e+03
5.828152492668622244e+02,1.838938150333771318e+03
5.830498533724339723e+02,1.784692910046839415e+03
5.832844574780058338e+02,1.739739952214604273e+03
5.835190615835776953e+02,1.757157261072345818e+03
5.837536656891495568e+02,1.800832900671938432e+03
5.839882697947214183e+02,1.749268318739428651e+03
5.842228739002932798e+02,1.850953261940631364e+03
5.844574780058651413e+02,1.812405254680013968e+03
5.846920821114370028e+02,1.947090606339116448e+03
5.849266862170087506e+02,1.918412109300073780e+03
5.851612903225806122e+02,1.933800210726319165e+03
5.853958944281524737e+02,1.820697906572669126e+03
5.856304985337243352e+02,1.931904142432610797e+03
5.858651026392961967e+02,1.939097576336266002e+03
5.860997067448680582e+02,1.950125255044215010e+03
5.863343108504399197e+02,2.036920370584490229e+03
5.865689149560117812e+02,2.015460935853998308e+03
5.868035190615835290e+02,1.985454561787231114e+03
5.870381231671553905e+02,2.022202957976698144e+03
5.872727272727272521e+02,1.983415960744130643e+03
5.875073313782991136e+02,2.041967704803473680e+03
5.877419354838709751e+02,2.012633308496386690e+03
5.879765395894428366e+02,2.189046996202267565e+03
5.882111436950146981e+02,2.119742235627295031e+03
5.884457478005865596e+02,2.200813750147603514e+03
5.886803519061583074e+02,2.081744687797587176e+03
5.889149560117301689e+02,2.164419635044205734e+03
5.891495601173020304e+02,2.259431649955000012e+03
5.893841642228738920e+02,2.199866192764550760e+03
5.896187683284457535e+02,2.193866525991335038e+03
5.898533724340176150e+02,2.290608040339435775e+03
5.900879765395894765e+02,2.250135714989581174e+03
5.903225806451613380e+02,2.318610550201728529e+03
5.905571847507330858e+02,2.239197390802604787e+03
5.907917888563049473e+02,2.400833983813512077e+03
5.910263929618768088e+02,2.312183575132885380e+03
5.912609970674486704e+02,2.396843401805191206e+03
5.914956011730205319e+02,2.451297842860595210e+03
5.917302052785923934e+02,2.401531295820726882e+03
5.919648093841642549e+02,2.429595960078124335e+03
5.921994134897361164e+02,2.558272399957912057e+03
5.924340175953078642e+02,2.584576500569627569e+03
5.926686217008797257e+02,2.549927911355154265e+03
5.929032258064515872e+02,2.614114308465966133e+03
5.931378299120234487e+02,2.650826767970180754e+03
5.933724340175953103e+02,2.655687196803935876e+03
5.936070381231671718e+02,2.666472433774584260e+03
5.938416422287390333e+02,2.729985172873551164e+03
5.940762463343108948e+02,2.778063745712160653e+03
5.943108504398826426e+02,2.730599906856190955e+03
5.945454545454545041e+02,2.819963181710379104e+03
5.947800586510263656e+02,2.910282809820345847e+03
5.950146627565982271e+02,2.963852433759182077e+03
5.952492668621700886e+02,3.023563260990681101e+03
5.954838709677419502e+02,2.910651227085938899e+03
5.957184750733138117e+02,2.897625030713528304e+03
5.959530791788856732e+02,2.941382211134292902e+03
5.961876832844575347e+02,3.131181512720407682e+03
5.964222873900292825e+02,3.267654002008394855e+03
5.966568914956011440e+02,3.130777717981001388e+03
5.968914956011730055e+02,3.320587971069282958e+03
5.971260997067448670e+02,3.317820292363176577e+03
5.973607038123167285e+02,3.328606278725057564e+03
5.975953079178885901e+02,3.338441521021499284e+03
5.978299120234604516e+02,3.394393901192152498e+03
5.980645161290323131e+02,3.410895397315539867e+03
5.982991202346040609e+02,3.498269338154389061e+03
5.985337243401759224e+02,3.596012921063694193e+03
5.987683284457477839e+02,3.568939707485532836e+03
5.990029325513196454e+02,3.644153542252954594e+03
5.992375366568915069e+02,3.705085072289137315e+03
5.994721407624633684e+02,3.754074551034127126e+03
5.997067448680352300e+02,3.774305775365530280e+03
5.999413489736070915e+02,3.919643278157650002e+03
6.001759530791788393e+02,3.995404375199971582e+03
6.004105571847507008e+02,3.909294194987587616e+03
6.006451612903225623e+02,4.031721196377401156e+03
6.008797653958944238e+02,4.109184147486642360e+03
6.011143695014662853e+02,4.101316928645531334e+03
6.013489736070381468e+02,4.318896369187140408e+03
6.015835777126100083e+02,4.327843469498874583e+03
6.018181818181818699e+02,4.318063213772073141e+03
6.020527859237536177e+02,4.498384741637460138e+03
6.022873900293254792e+02,4.447134887445599816e+03
6.025219941348973407e+02,4.556792173092596386e+03
6.027565982404692022e+02,4.524889379303455826e+03
6.029912023460410637e+02,4.695665614026796902e+03
6.032258064516129252e+02,4.768988476532353161e+03
