x,y
2.000000000000000000e+02,1.125653188907236029e+02
2.009009009009008935e+02,1.023707394279437040e+02
2.018018018018018154e+02,1.012287607364087165e+02
2.027027027027027088e+02,1.058427620937238203e+02
2.036036036036036023e+02,1.048106608050918851e+02
2.045045045045044958e+02,1.039537282740015627e+02
2.054054054054054177e+02,1.053595648703032879e+02
2.063063063063063112e+02,1.032834785746573516e+02
2.072072072072072046e+02,1.073253747320961224e+02
2.081081081081080981e+02,1.050499548194589323e+02
2.090090090090090200e+02,1.042360787462733356e+02
2.099099099099099135e+02,1.078055552495013245e+02
2.108108108108108070e+02,1.029654660734879741e+02
2.117117117117117004e+02,1.083690819662462843e+02
2.126126126126126223e+02,1.037575682175769458e+02
2.135135135135135158e+02,1.008795737875567085e+02
2.144144144144144093e+02,1.060536730860566053e+02
2.153153153153153028e+02,1.069235811693195899e+02
2.162162162162162247e+02,9.531333398732967055e+01
2.171171171171171181e+02,1.056387743782248805e+02
2.180180180180180116e+02,1.076824266619486394e+02
2.189189189189189051e+02,1.072918941124138428e+02
2.198198198198198270e+02,1.072636842585732353e+02
2.207207207207207205e+02,1.086856278137429825e+02
2.216216216216216139e+02,1.037790198737254883e+02
2.225225225225225358e+02,9.613055591305547409e+01
2.234234234234234293e+02,1.111429866355150864e+02
2.243243243243243228e+02,1.137330288479576552e+02
2.252252252252252163e+02,1.066553068096193329e+02
2.261261261261261382e+02,1.124461775216230990e+02
2.270270270270270316e+02,1.132352885160591427e+02
2.279279279279279251e+02,1.136377685670484965e+02
2.288288288288288186e+02,1.190225081523407340e+02
2.297297297297297405e+02,1.011077603193181602e+02
2.306306306306306340e+02,1.111479490568168416e+02
2.315315315315315274e+02,1.116722876260607080e+02
2.324324324324324493e+02,1.107007829088942827e+02
2.333333333333333428e+02,1.062051987763913985e+02
2.342342342342342363e+02,1.077906290129958222e+02
2.351351351351351298e+02,1.114394218088806952e+02
2.360360360360360232e+02,1.193612322927263989e+02
2.369369369369369451e+02,1.120371651088428422e+02
2.378378378378378386e+02,1.004669599864422622e+02
2.387387387387387321e+02,1.103814763346497898e+02
2.396396396396396540e+02,1.128790396351629255e+02
2.405405405405405475e+02,1.088625533887850878e+02
2.414414414414414409e+02,1.155871912007152673e+02
2.423423423423423344e+02,1.156841550034294244e+02
2.432432432432432279e+02,1.204612386678880114e+02
2.441441441441441498e+02,1.084906204361234359e+02
2.450450450450450433e+02,1.216999677392726511e+02
2.459459459459459367e+02,1.147152153938458099e+02
2.468468468468468586e+02,1.062509957728213408e+02
2.477477477477477521e+02,1.127681990587300902e+02
2.486486486486486456e+02,1.180761019522161774e+02
2.495495495495495675e+02,1.170195182290118510e+02
2.504504504504504609e+02,1.209135993624394985e+02
2.513513513513513544e+02,1.244066240973537703e+02
2.522522522522522479e+02,1.238023607907833537e+02
2.531531531531531414e+02,1.145193448775470273e+02
2.540540540540540633e+02,1.152713029336466661e+02
2.549549549549549567e+02,1.182093744696436630e+02
2.558558558558558502e+02,1.229572662508018652e+02
2.567567567567567721e+02,1.279991310640261162e+02
2.576576576576576372e+02,1.324909931269320111e+02
2.585585585585585591e+02,1.173712122237146644e+02
2.594594594594594810e+02,1.180923028686221414e+02
2.603603603603603460e+02,1.296913858220730447e+02
2.612612612612612679e+02,1.177603978573335155e+02
2.621621621621621898e+02,1.386282972440142771e+02
2.630630630630630549e+02,1.243947695015136219e+02
2.639639639639639768e+02,1.195556327662064291e+02
2.648648648648648987e+02,1.335977504546058867e+02
2.657657657657657637e+02,1.276407114693096077e+02
2.666666666666666856e+02,1.181769130407649158e+02
2.675675675675675507e+02,1.388250667258066642e+02
2.684684684684684726e+02,1.318520855462426766e+02
2.693693693693693376e+02,1.379117182210666215e+02
2.702702702702702595e+02,1.335557919634044879e+02
2.711711711711711814e+02,1.338304154799929506e+02
2.720720720720720465e+02,1.420270342030134429e+02
2.729729729729729684e+02,1.449586664611883862e+02
2.738738738738738903e+02,1.552492373163341028e+02
2.747747747747747553e+02,1.435444778285925338e+02
2.756756756756756772e+02,1.506338349749825056e+02
2.765765765765765991e+02,1.516415759204884921e+02
2.774774774774774642e+02,1.570610057645208713e+02
2.783783783783783861e+02,1.566591520818220999e+02
2.792792792792793080e+02,1.635549771859095642e+02
2.801801801801801730e+02,1.596037177013137693e+02
2.810810810810810949e+02,1.679474744335352057e+02
2.819819819819820168e+02,1.714397237727823438e+02
2.828828828828828819e+02,1.750925846795363441e+02
2.837837837837838038e+02,1.807483258346159403e+02
2.846846846846846688e+02,1.884169922098002985e+02
2.855855855855855907e+02,1.872647254388756721e+02
2.864864864864864558e+02,2.031252141391090618e+02
2.873873873873873777e+02,2.066072468804878497e+02
2.882882882882882996e+02,2.005457161328335474e+02
2.891891891891891646e+02,2.081582284615325307e+02
2.900900900900900865e+02,2.256173326558943870e+02
2.909909909909910084e+02,2.343326808544591984e+02
2.918918918918918735e+02,2.442479994958694078e+02
